id,title,artist,danceability,decade,Track URI,Genre
SOBVQQR13E904DCBF5,My Heart Will Go On,Celine Dion,0.175607,1990s,http://dbpedia.org/resource/My_Heart_Will_Go_On,Pop
SOSXZKT1315CD441A2,Gangsta's Paradise,Coolio,0.527033,1990s,http://dbpedia.org/resource/Gangsta%27s_Paradise,HipHop
SOYPLFU145B685E314,Believe,Cher,0.663977,1990s,http://dbpedia.org/resource/Believe_(Cher_song),Electronic
SONRQVB13777F7A7F7,Vogue,Madonna,0.722713,1990s,http://dbpedia.org/resource/Vogue_(Madonna_song),Electronic Pop
SOOCLVC13D5337E43E,...Baby One More Time,Britney Spears,0.601832,1990s,http://dbpedia.org/resource/...Baby_One_More_Time_(song),Pop
SOFZYOX13C79B469B3,MMMBop,Hanson,0.670648,1990s,http://dbpedia.org/resource/MMMBop,Rock Pop
SOPGHQS147F5DC2DEB,I'll Be Missing You (Instrumental),Puff Daddy & Faith Evans,0.941884,1990s,http://dbpedia.org/resource/I%27ll_Be_Missing_You,HipHop Pop
SORWXJF144F500BA38,The Sign,Ace of Base,0.802241,1990s,http://dbpedia.org/resource/The_Sign_(song),Electronic
SOQSOIM150D4A9A383,Don't Speak,No Doubt,0.279003,1990s,http://dbpedia.org/resource/wiki/Don%27t_Speak,Rock
SOIEELJ13A317EC6FF,Streets of Philadelphia,Bruce Springsteen,0.730714,1990s,http://dbpedia.org/resource/Streets_of_Philadelphia,Rock Stage&Screen
SOTEEDG1315CD4863D,Macarena,Los Del Rio,0.739523,1990s,http://dbpedia.org/resource/Macarena_(song),Electronic Latin Pop
SOBXITZ13688EB7C01,Black Or White,Michael Jackson,0.688235,1990s,http://dbpedia.org/resource/Black_or_White,Pop
SOARLNV144AFF67A72,I Don't Want To Miss A Thing,Aerosmith,0.399418,1990s,http://dbpedia.org/resource/I_Don%27t_Want_to_Miss_a_Thing,Electronic Rock
SOHXCPT1313438E926,The Boy Is Mine,Brandy & Monica,0.706897,1990s,http://dbpedia.org/resource/The_Boy_Is_Mine_(song),HipHop
SOSMWKV13F9ED36572,Informer,Snow,0.644622,1990s,http://dbpedia.org/resource/Informer_(song),HipHop
SOAARDN144B023A14D,No Scrubs,TLC,0.798418,1990s,http://dbpedia.org/resource/No_Scrubs,HipHop
SOPNXHC13E90643F3D,I'll Make Love To You,Boyz II Men,0.326005,1990s,http://dbpedia.org/resource/I%27ll_Make_Love_to_You,HipHop
SOTVDDG13F61321681,Waterfalls,TLC,0.777705,1990s,http://dbpedia.org/resource/Waterfalls_(TLC_song),HipHop
SOYSTFW14A7AD13BDF,All That She Wants,Ace of Base,0.588255,1990s,http://dbpedia.org/resource/All_That_She_Wants,Electronic
