id,title,artist,danceability,decade,Track URI,Genre,recommended,recommendations
SOBJYRQ141208B637E,Celebration,Kool & The Gang,0.474941,1980s,http://dbpedia.org/resource/Celebration_(Kool_%26_the_Gang_song),Funk/Soul,All Night Long,Upside Down;Endless Love;All Night Long;Hello;
SOBQCYL12AB0182E31,Heaven Is A Place On Earth,Belinda Carlisle,0.641936,1980s,http://dbpedia.org/resource/Heaven_Is_a_Place_on_Earth,Electronic Rock,99 Red Balloons,Another Day In Paradise;Physical;Stars On 45: Beatles Medley;Total Eclipse of the Heart;The Look;99 Red Balloons;Desire;Relax;
SOCEUON135CC908B44,The Winner Takes It All,ABBA,0.412083,1980s,http://dbpedia.org/resource/The_Winner_Takes_It_All,Pop,Woman In Love,Woman In Love;Girls Just Wanna Have Fun;Like A Virgin;
SOMWBOM13EA5AFB71F,Girl I'm Gonna Miss You,Milli Vanilli,0.721042,1980s,http://dbpedia.org/resource/Girl_I%27m_Gonna_Miss_You,Funk/Soul Pop,"Get Outta My Dreams, Get Into My Car","When Doves Cry;Get Outta My Dreams, Get Into My Car;"
SOMBINS136004BA720,Stayin' Alive,Bee Gees,0.702418,1970s,http://dbpedia.org/resource/Stayin%27_Alive,Funk/Soul,Kiss and Say Goodbye,"Rock Your Baby;I Will Survive;Le Freak;Born to Be Alive;Ring My Bell;Three Times A Lady;Kiss and Say Goodbye;Lady Marmalade;Shame, Shame, Shame;Superstition;"
SOBYOUO145FEC6150C,You're The One That I Want,John Travolta,0.753664,1970s,http://dbpedia.org/resource/You%27re_the_One_That_I_Want,Pop Stage&Screen,Una Paloma Blanca,Una Paloma Blanca;
SOVMVTH1401CD8A6C1,YMCA,Village People,0.651518,1970s,http://dbpedia.org/resource/Y.M.C.A._(song),Electronic Funk/Soul,Don't Stop 'Til You Get Enough,Don't Stop 'Til You Get Enough;
SOFLGWM13134399A20,Kung Fu Fighting,Carl Douglas,0.579672,1970s,http://dbpedia.org/resource/Kung_Fu_Fighting,Funk/Soul Pop,Tragedy,Tragedy;She's A Lady;
SOBGPGX12AB017EF24,Dancing Queen,ABBA,0.466155,1970s,http://dbpedia.org/resource/Dancing_Queen,Pop,Bridge Over Troubled Water,Tie a Yellow Ribbon 'Round the Ole Oak Tree;Bridge Over Troubled Water;I Beg Your Pardon (I Never Promised You a Rose Garden);How Deep Is Your Love;Sos;Too Much Heaven;Love Will Keep Us Together;Knock Three Times;The Way We Were;
SOKRMJX137564A7E5A,In The Summertime,Mungo Jerry,0.574503,1970s,http://dbpedia.org/resource/In_the_Summertime,Rock Pop,(They Long To Be) Close To You,"Waterloo;If You Leave Me Now;Fernando;Crocodile Rock;You're so Vain;It's a Heartache;Sugar Baby Love;Kiss You All Over;Fox On The Run;Joy To The World;December 1963 (Oh What A Night);Take A Chance On Me;Money, Money, Money;We Don't Talk Anymore;Raindrops Keep Falling on My Head;Goodbye Yellow Brick Road;Beautiful Sunday;(They Long To Be) Close To You;"
SODNAYB144BC859FF0,Waterloo,ABBA,0.430353,1970s,http://dbpedia.org/resource/Waterloo_(ABBA_song),Rock Pop,(They Long To Be) Close To You,"In The Summertime;If You Leave Me Now;Fernando;Crocodile Rock;You're so Vain;It's a Heartache;Sugar Baby Love;Kiss You All Over;Fox On The Run;Joy To The World;December 1963 (Oh What A Night);Take A Chance On Me;Money, Money, Money;We Don't Talk Anymore;Raindrops Keep Falling on My Head;Goodbye Yellow Brick Road;Beautiful Sunday;(They Long To Be) Close To You;"
SOAXNQB12C0DD054D9,Night Fever,Bee Gees,0.693079,1970s,http://dbpedia.org/resource/Night_Fever,Electronic Stage&Screen,Grease,Grease;
SOHIMAB1450661DF0C,Rock Your Baby,George McCrae,0.680496,1970s,http://dbpedia.org/resource/Rock_Your_Baby,Funk/Soul,Kiss and Say Goodbye,"Stayin' Alive;I Will Survive;Le Freak;Born to Be Alive;Ring My Bell;Three Times A Lady;Kiss and Say Goodbye;Lady Marmalade;Shame, Shame, Shame;Superstition;"
SOJSAAM13A18D360C2,Venus,Shocking Blue,0.657602,1970s,http://dbpedia.org/resource/Venus_(Shocking_Blue_song),Electronic Rock Pop,Bridge Over Troubled Water,My Prayer;
SOGTCBQ12AF729FFA3,Tie a Yellow Ribbon 'Round the Ole Oak Tree,Tony Orlando,0.528345,1970s,http://dbpedia.org/resource/Tie_a_Yellow_Ribbon_Round_the_Ole_Oak_Tree,Pop,How Deep Is Your Love,Dancing Queen;Bridge Over Troubled Water;I Beg Your Pardon (I Never Promised You a Rose Garden);How Deep Is Your Love;Sos;Too Much Heaven;Love Will Keep Us Together;Knock Three Times;The Way We Were;
SOASSHH1514A043563,If You Leave Me Now,Chicago,0.376102,1970s,http://dbpedia.org/resource/If_You_Leave_Me_Now,Rock Pop,Beautiful Sunday,"In The Summertime;Waterloo;Fernando;Crocodile Rock;You're so Vain;It's a Heartache;Sugar Baby Love;Kiss You All Over;Fox On The Run;Joy To The World;December 1963 (Oh What A Night);Take A Chance On Me;Money, Money, Money;We Don't Talk Anymore;Raindrops Keep Falling on My Head;Goodbye Yellow Brick Road;Beautiful Sunday;(They Long To Be) Close To You;"
SOSZBOL1311AFD6828,I Will Survive,Gloria Gaynor,0.646839,1970s,http://dbpedia.org/resource/I_Will_Survive,Funk/Soul,Kiss and Say Goodbye,"Stayin' Alive;Rock Your Baby;Le Freak;Born to Be Alive;Ring My Bell;Three Times A Lady;Kiss and Say Goodbye;Lady Marmalade;Shame, Shame, Shame;Superstition;"
SOATPHS1311AFDEC82,Bridge Over Troubled Water,Simon & Garfunkel,0.30955,1970s,http://dbpedia.org/resource/Bridge_over_Troubled_Water,Pop,Sos,Dancing Queen;Tie a Yellow Ribbon 'Round the Ole Oak Tree;I Beg Your Pardon (I Never Promised You a Rose Garden);How Deep Is Your Love;Sos;Too Much Heaven;Love Will Keep Us Together;Knock Three Times;The Way We Were;
SODGLIX150ED6AEBBE,Le Freak,Chic,0.887522,1970s,http://dbpedia.org/resource/Le_Freak,Funk/Soul,Rock Your Baby,"Stayin' Alive;Rock Your Baby;I Will Survive;Born to Be Alive;Ring My Bell;Three Times A Lady;Kiss and Say Goodbye;Lady Marmalade;Shame, Shame, Shame;Superstition;"
SOLDUGS1311AFEA559,"Aquarius / Let the Sunshine In (The Flesh Failures) ([From the American Tribal Love Rock Musical ""Hair""])",Billy Swan,0.775715,1970s,http://dbpedia.org/resource/I_Can_Help,Rock,Mississippi,Up Around the Bend;I Was Made For Lovin' You;Mississippi;
SOLXVVT13167718851,I Beg Your Pardon (I Never Promised You a Rose Garden),Lynn Anderson,0.468307,1970s,http://dbpedia.org/resource/Rose_Garden_(Lynn_Anderson_song),Pop,How Deep Is Your Love,Dancing Queen;Tie a Yellow Ribbon 'Round the Ole Oak Tree;Bridge Over Troubled Water;How Deep Is Your Love;Sos;Too Much Heaven;Love Will Keep Us Together;Knock Three Times;The Way We Were;
SOARCTG1454526286A,Fernando,ABBA,0.356125,1970s,http://dbpedia.org/resource/Fernando_(song),Rock Pop,Beautiful Sunday,"In The Summertime;Waterloo;If You Leave Me Now;Crocodile Rock;You're so Vain;It's a Heartache;Sugar Baby Love;Kiss You All Over;Fox On The Run;Joy To The World;December 1963 (Oh What A Night);Take A Chance On Me;Money, Money, Money;We Don't Talk Anymore;Raindrops Keep Falling on My Head;Goodbye Yellow Brick Road;Beautiful Sunday;(They Long To Be) Close To You;"
SOSHVUG136ED773438,How Deep Is Your Love,Bee Gees,0.630573,1970s,http://dbpedia.org/resource/How_Deep_Is_Your_Love_(Bee_Gees_song),Pop,Bridge Over Troubled Water,Dancing Queen;Tie a Yellow Ribbon 'Round the Ole Oak Tree;Bridge Over Troubled Water;I Beg Your Pardon (I Never Promised You a Rose Garden);Sos;Too Much Heaven;Love Will Keep Us Together;Knock Three Times;The Way We Were;
SOTCTUB13665DA247E,Tragedy,Bee Gees,0.67788,1970s,http://dbpedia.org/resource/Tragedy_(Bee_Gees_song),Funk/Soul Pop,Kung Fu Fighting,Kung Fu Fighting;She's A Lady;
SOKQLFL13E46226235,Crocodile Rock,Elton John,0.613954,1970s,http://dbpedia.org/resource/Crocodile_Rock,Rock Pop,(They Long To Be) Close To You,"In The Summertime;Waterloo;If You Leave Me Now;Fernando;You're so Vain;It's a Heartache;Sugar Baby Love;Kiss You All Over;Fox On The Run;Joy To The World;December 1963 (Oh What A Night);Take A Chance On Me;Money, Money, Money;We Don't Talk Anymore;Raindrops Keep Falling on My Head;Goodbye Yellow Brick Road;Beautiful Sunday;(They Long To Be) Close To You;"
SOWOJWN1513A5337A2,Hot Stuff,Donna Summer,0.779891,1970s,http://dbpedia.org/resource/Hot_Stuff_(Donna_Summer_song),Electronic,Ma Baker,I Feel Love;Pop Muzik;Daddy Cool;Ma Baker;SHADOW DANCING;
SOWAWEG1506BCB3B8D,You're so Vain,Carly Simon,0.519627,1970s,http://dbpedia.org/resource/You%27re_So_Vain,Rock Pop,(They Long To Be) Close To You,"In The Summertime;Waterloo;If You Leave Me Now;Fernando;Crocodile Rock;It's a Heartache;Sugar Baby Love;Kiss You All Over;Fox On The Run;Joy To The World;December 1963 (Oh What A Night);Take A Chance On Me;Money, Money, Money;We Don't Talk Anymore;Raindrops Keep Falling on My Head;Goodbye Yellow Brick Road;Beautiful Sunday;(They Long To Be) Close To You;"
SOXYKUW144EE55885D,Born to Be Alive,Patrick Hernandez,0.729077,1970s,http://dbpedia.org/resource/Born_to_Be_Alive,Funk/Soul,Rock Your Baby,"Stayin' Alive;Rock Your Baby;I Will Survive;Le Freak;Ring My Bell;Three Times A Lady;Kiss and Say Goodbye;Lady Marmalade;Shame, Shame, Shame;Superstition;"
SOEXTJR13665BFF318,I Feel Love,Donna Summer,0.599068,1970s,http://dbpedia.org/resource/I_Feel_Love,Electronic,SHADOW DANCING,Hot Stuff;Pop Muzik;Daddy Cool;Ma Baker;SHADOW DANCING;
SOLJOJP13762D94F95,It's a Heartache,Bonnie Tyler,0.55174,1970s,http://dbpedia.org/resource/It%27s_a_Heartache,Rock Pop,December 1963 (Oh What A Night),"In The Summertime;Waterloo;If You Leave Me Now;Fernando;Crocodile Rock;You're so Vain;Sugar Baby Love;Kiss You All Over;Fox On The Run;Joy To The World;December 1963 (Oh What A Night);Take A Chance On Me;Money, Money, Money;We Don't Talk Anymore;Raindrops Keep Falling on My Head;Goodbye Yellow Brick Road;Beautiful Sunday;(They Long To Be) Close To You;"
SONNVUF142AB4DEC54,Sos,ABBA,0.357585,1970s,http://dbpedia.org/resource/SOS_(ABBA_song),Pop,How Deep Is Your Love,Dancing Queen;Tie a Yellow Ribbon 'Round the Ole Oak Tree;Bridge Over Troubled Water;I Beg Your Pardon (I Never Promised You a Rose Garden);How Deep Is Your Love;Too Much Heaven;Love Will Keep Us Together;Knock Three Times;The Way We Were;
SOADJHL12AC9072846,Pop Muzik,M,0.749511,1970s,http://dbpedia.org/resource/Pop_Muzik,Electronic,SHADOW DANCING,Hot Stuff;I Feel Love;Daddy Cool;Ma Baker;SHADOW DANCING;
SOCRJHS13D67653F03,Sugar Baby Love,The Rubettes,0.498251,1970s,http://dbpedia.org/resource/Sugar_Baby_Love,Rock Pop,Goodbye Yellow Brick Road,"In The Summertime;Waterloo;If You Leave Me Now;Fernando;Crocodile Rock;You're so Vain;It's a Heartache;Kiss You All Over;Fox On The Run;Joy To The World;December 1963 (Oh What A Night);Take A Chance On Me;Money, Money, Money;We Don't Talk Anymore;Raindrops Keep Falling on My Head;Goodbye Yellow Brick Road;Beautiful Sunday;(They Long To Be) Close To You;"
SOPDADR14D70DBCEFD,Too Much Heaven,Bee Gees,0.561868,1970s,http://dbpedia.org/resource/Too_Much_Heaven,Pop,How Deep Is Your Love,Dancing Queen;Tie a Yellow Ribbon 'Round the Ole Oak Tree;Bridge Over Troubled Water;I Beg Your Pardon (I Never Promised You a Rose Garden);How Deep Is Your Love;Sos;Love Will Keep Us Together;Knock Three Times;The Way We Were;
